,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1979-12-11,5.4,59051.0,5.7,355.0,0.07281000000000004,1.44,13.0,343.0,7.0,230.6
1979-12-12,3.5,53087.0,5.5,353.0,0.06428000000000003,1.37,10.0,370.0,4.0,232.3
1979-12-13,3.6,33185.0,9.1,311.0,0.06182000000000001,1.73,10.0,333.0,10.0,231.7
1979-12-14,7.2,84218.0,9.2,335.0,0.07426999999999999,1.91,13.0,326.0,11.0,238.3
1979-12-15,9.2,116612.0,5.4,356.0,0.08613,1.36,20.0,319.0,-2.0,231.8
1979-12-16,6.3,78708.0,7.1,394.0,0.06957000000000002,2.26,23.0,304.0,-3.0,216.3
1979-12-17,6.4,92689.0,5.3,414.0,0.06514999999999999,1.81,27.0,255.0,-6.0,202.2
1979-12-18,5.5,71056.0,4.0,399.0,0.06255999999999998,1.28,17.0,214.0,-4.0,187.4
1979-12-19,4.9,56155.0,2.6,387.0,0.05572,0.8,17.0,195.0,-4.0,183.0
1979-12-20,5.4,41538.0,2.4,328.0,0.06464000000000002,0.51,10.0,178.0,-3.0,180.8
1979-12-21,5.5,28989.0,5.5,300.0,0.059380000000000016,1.0,10.0,176.0,-5.0,176.7
1979-12-22,12.4,63280.0,11.5,349.0,0.06287000000000001,2.85,30.0,157.0,3.0,175.3
1979-12-23,6.2,40586.0,11.6,344.0,0.05838000000000001,2.76,7.0,164.0,5.0,168.6
1979-12-24,7.2,56204.0,10.4,360.0,0.06345,2.57,17.0,184.0,8.0,160.2
1979-12-25,5.5,28702.0,15.3,314.0,0.04439999999999997,3.07,3.0,202.0,18.0,162.0
1979-12-26,9.7,144593.0,12.6,401.0,0.06469000000000003,4.0,23.0,164.0,12.0,159.7
1979-12-27,7.7,206841.0,7.1,460.0,0.06202999999999999,2.92,23.0,132.0,-3.0,153.6
1979-12-28,6.5,172527.0,4.1,471.0,0.05647000000000001,1.82,27.0,139.0,-10.0,163.1
1979-12-29,8.3,157672.0,5.2,490.0,0.05372999999999999,2.53,43.0,171.0,-32.0,174.0
1979-12-30,6.5,50134.0,9.8,424.0,0.059410000000000004,3.41,33.0,197.0,-24.0,185.5
1979-12-31,6.1,51321.0,9.9,402.0,0.057310000000000014,3.16,20.0,191.0,-14.0,188.9
1980-01-01,9.1,49764.0,4.9,406.0,0.07363999999999994,1.63,33.0,217.0,-47.0,189.1
1980-01-02,8.5,219852.0,5.5,441.0,0.07281000000000003,2.14,23.0,224.0,-47.0,199.9
1980-01-03,9.6,244015.0,6.1,535.0,0.05600999999999998,3.49,33.0,210.0,-17.0,211.9
1980-01-04,5.8,217781.0,4.1,626.0,0.04965999999999998,3.23,30.0,227.0,-11.0,212.4
1980-01-05,4.7,176671.0,3.0,592.0,0.04633999999999998,2.08,27.0,261.0,-12.0,207.7
1980-01-06,2.8,113596.0,2.1,536.0,0.05294999999999999,1.22,20.0,293.0,-10.0,222.1
1980-01-07,2.9,46193.0,3.4,416.0,0.07048000000000003,1.14,13.0,300.0,-5.0,228.0
1980-01-08,8.2,48499.0,3.9,417.0,0.06548000000000002,1.35,17.0,313.0,-7.0,228.1
1980-01-09,9.3,56275.0,1.4,367.0,0.07726000000000005,0.39,7.0,353.0,-4.0,240.9
1980-01-10,8.4,25361.0,1.6,343.0,0.07331000000000004,0.39,7.0,310.0,-3.0,253.0
1980-01-11,8.8,106299.0,2.9,369.0,0.08833000000000002,0.83,23.0,347.0,-8.0,255.7
1980-01-12,6.7,133058.0,3.0,395.0,0.07342000000000003,0.93,10.0,297.0,-8.0,245.1
1980-01-13,9.3,125936.0,5.3,436.0,0.07290999999999999,2.06,33.0,256.0,-24.0,221.6
1980-01-14,6.5,30283.0,6.3,396.0,0.06292,1.98,23.0,252.0,-32.0,203.8
1980-01-15,8.0,50402.0,6.8,367.0,0.06795999999999998,1.85,13.0,207.0,-15.0,200.0
1980-01-16,8.7,135831.0,2.6,429.0,0.09300000000000001,0.87,17.0,235.0,-21.0,188.6
1980-01-17,7.5,181066.0,4.2,465.0,0.06515,1.83,23.0,205.0,-7.0,186.9
1980-01-18,5.5,98164.0,2.5,457.0,0.05779000000000001,1.05,10.0,184.0,-6.0,177.5
1980-01-19,5.2,35865.0,5.2,376.0,0.05543999999999997,1.47,10.0,167.0,2.0,164.4
1980-01-20,5.8,90850.0,6.3,359.0,0.06448000000000001,1.63,17.0,163.0,3.0,156.5
1980-01-21,5.8,104852.0,4.9,367.0,0.06751000000000003,1.33,13.0,171.0,3.0,153.4
1980-01-22,6.0,44379.0,12.2,324.0,0.05813000000000002,2.55,13.0,174.0,10.0,158.2
1980-01-23,6.7,68402.0,11.1,307.0,0.07024,2.09,13.0,176.0,2.0,166.7
1980-01-24,5.0,54014.0,7.9,302.0,0.06474,1.44,13.0,170.0,2.0,171.1
1980-01-25,6.7,36689.0,13.3,314.0,0.061279999999999994,2.66,17.0,152.0,8.0,171.3
1980-01-26,10.2,76252.0,8.9,329.0,0.07875,1.93,17.0,180.0,8.0,178.8
1980-01-27,9.4,24177.0,15.4,343.0,0.052029999999999986,3.71,37.0,170.0,-20.0,190.6
1980-01-28,11.1,115897.0,20.6,379.0,0.07547000000000001,6.25,37.0,184.0,-35.0,194.0
1980-01-29,9.8,190737.0,4.1,491.0,0.06045999999999999,1.99,37.0,173.0,-50.0,197.0
1980-01-30,7.5,170382.0,3.8,472.0,0.052280000000000014,1.71,23.0,205.0,-30.0,197.9
1980-01-31,6.2,110185.0,1.4,454.0,0.07142,0.57,13.0,232.0,-19.0,213.9
1980-02-01,6.6,143439.0,2.6,463.0,0.06251000000000001,1.13,23.0,276.0,-12.0,212.6
1980-02-02,4.3,88796.0,3.4,450.0,0.06455000000000002,1.37,20.0,252.0,-11.0,217.9
1980-02-03,4.0,50304.0,3.2,375.0,0.050480000000000025,0.91,7.0,262.0,-6.0,225.7
1980-02-04,5.2,44944.0,5.4,328.0,0.059800000000000034,1.18,10.0,258.0,-4.0,231.7
1980-02-05,5.4,33691.0,5.0,328.0,0.05547000000000004,1.07,7.0,252.0,-3.0,218.9
1980-02-06,14.5,129957.0,7.9,457.0,0.07830000000000002,3.42,37.0,296.0,-32.0,221.7
1980-02-07,8.2,98474.0,4.2,478.0,0.07607999999999998,1.92,27.0,312.0,-49.0,223.9
1980-02-08,5.1,77828.0,3.2,459.0,0.05895999999999999,1.42,30.0,287.0,-39.0,218.7
1980-02-09,6.3,123711.0,3.0,442.0,0.06692999999999999,1.21,27.0,244.0,-25.0,208.2
1980-02-10,5.2,61641.0,2.7,402.0,0.046770000000000006,0.88,10.0,198.0,-13.0,204.6
1980-02-11,4.3,153042.0,3.0,416.0,0.06577000000000002,1.06,10.0,210.0,-4.0,213.7
1980-02-12,3.8,44290.0,2.7,354.0,0.047120000000000044,0.68,7.0,181.0,-4.0,213.7
1980-02-13,5.8,25254.0,7.1,323.0,0.064,1.47,7.0,185.0,6.0,217.9
1980-02-14,11.3,54968.0,12.6,349.0,0.05948999999999998,3.1,30.0,198.0,-18.0,201.0
1980-02-15,9.9,64976.0,12.5,380.0,0.07156999999999998,3.91,33.0,225.0,-24.0,201.2
1980-02-16,15.1,20485.0,6.2,388.0,0.07274,1.93,43.0,231.0,-88.0,200.2
1980-02-17,10.3,39323.0,6.0,339.0,0.07432000000000002,1.38,17.0,187.0,-42.0,182.8
