,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1979-12-11,5.4,59051.0,5.7,355.0,,1.44,13,343.0,7,230.6
1979-12-12,3.5,53087.0,5.5,353.0,,1.37,10,370.0,4,232.3
1979-12-13,3.6,33185.0,9.1,311.0,,1.73,10,333.0,10,231.7
1979-12-14,7.2,84218.0,9.2,335.0,,1.91,13,326.0,11,238.3
1979-12-15,9.2,116612.0,5.4,356.0,,1.36,20,319.0,-2,231.8
1979-12-16,6.3,78708.0,7.1,394.0,,2.26,23,304.0,-3,216.3
1979-12-17,6.4,92689.0,5.3,414.0,,1.81,27,255.0,-6,202.2
1979-12-18,5.5,71056.0,4.0,399.0,,1.28,17,214.0,-4,187.4
1979-12-19,4.9,56155.0,2.6,387.0,,0.8,17,195.0,-4,183.0
1979-12-20,5.4,41538.0,2.4,328.0,,0.51,10,178.0,-3,180.8
1979-12-21,5.5,28989.0,5.5,300.0,,1.0,10,176.0,-5,176.7
1979-12-22,12.4,63280.0,11.5,349.0,,2.85,30,157.0,3,175.3
1979-12-23,6.2,40586.0,11.6,344.0,,2.76,7,164.0,5,168.6
1979-12-24,7.2,56204.0,10.4,360.0,,2.57,17,184.0,8,160.2
1979-12-25,5.5,28702.0,15.3,314.0,,3.07,3,202.0,18,162.0
1979-12-26,9.7,144593.0,12.6,401.0,,4.0,23,164.0,12,159.7
1979-12-27,7.7,206841.0,7.1,460.0,,2.92,23,132.0,-3,153.6
1979-12-28,6.5,172527.0,4.1,471.0,,1.82,27,139.0,-10,163.1
1979-12-29,8.3,157672.0,5.2,490.0,,2.53,43,171.0,-32,174.0
1979-12-30,6.5,50134.0,9.8,424.0,,3.41,33,197.0,-24,185.5
1979-12-31,6.1,51321.0,9.9,402.0,,3.16,20,191.0,-14,188.9
1980-01-01,9.1,49764.0,4.9,406.0,,1.63,33,217.0,-47,189.1
1980-01-02,8.5,219852.0,5.5,441.0,,2.14,23,224.0,-47,199.9
1980-01-03,9.6,244015.0,6.1,535.0,,3.49,33,210.0,-17,211.9
1980-01-04,5.8,217781.0,4.1,626.0,,3.23,30,227.0,-11,212.4
1980-01-05,4.7,176671.0,3.0,592.0,,2.08,27,261.0,-12,207.7
1980-01-06,2.8,113596.0,2.1,536.0,,1.22,20,293.0,-10,222.1
1980-01-07,2.9,46193.0,3.4,416.0,,1.14,13,300.0,-5,228.0
1980-01-08,8.2,48499.0,3.9,417.0,,1.35,17,313.0,-7,228.1
1980-01-09,9.3,56275.0,1.4,367.0,,0.39,7,353.0,-4,240.9
1980-01-10,8.4,25361.0,1.6,343.0,,0.39,7,310.0,-3,253.0
1980-01-11,8.8,106299.0,2.9,369.0,,0.83,23,347.0,-8,255.7
1980-01-12,6.7,133058.0,3.0,395.0,,0.93,10,297.0,-8,245.1
1980-01-13,9.3,125936.0,5.3,436.0,,2.06,33,256.0,-24,221.6
1980-01-14,6.5,30283.0,6.3,396.0,,1.98,23,252.0,-32,203.8
1980-01-15,8.0,50402.0,6.8,367.0,,1.85,13,207.0,-15,200.0
1980-01-16,8.7,135831.0,2.6,429.0,,0.87,17,235.0,-21,188.6
1980-01-17,7.5,181066.0,4.2,465.0,,1.83,23,205.0,-7,186.9
1980-01-18,5.5,98164.0,2.5,457.0,,1.05,10,184.0,-6,177.5
1980-01-19,5.2,35865.0,5.2,376.0,,1.47,10,167.0,2,164.4
1980-01-20,5.8,90850.0,6.3,359.0,,1.63,17,163.0,3,156.5
1980-01-21,5.8,104852.0,4.9,367.0,,1.33,13,171.0,3,153.4
1980-01-22,6.0,44379.0,12.2,324.0,,2.55,13,174.0,10,158.2
1980-01-23,6.7,68402.0,11.1,307.0,,2.09,13,176.0,2,166.7
1980-01-24,5.0,54014.0,7.9,302.0,,1.44,13,170.0,2,171.1
1980-01-25,6.7,36689.0,13.3,314.0,,2.66,17,152.0,8,171.3
1980-01-26,10.2,76252.0,8.9,329.0,,1.93,17,180.0,8,178.8
1980-01-27,9.4,24177.0,15.4,343.0,,3.71,37,170.0,-20,190.6
1980-01-28,11.1,115897.0,20.6,379.0,,6.25,37,184.0,-35,194.0
1980-01-29,9.8,190737.0,4.1,491.0,,1.99,37,173.0,-50,197.0
1980-01-30,7.5,170382.0,3.8,472.0,,1.71,23,205.0,-30,197.9
1980-01-31,6.2,110185.0,1.4,454.0,,0.57,13,232.0,-19,213.9
1980-02-01,6.6,143439.0,2.6,463.0,,1.13,23,276.0,-12,212.6
1980-02-02,4.3,88796.0,3.4,450.0,,1.37,20,252.0,-11,217.9
1980-02-03,4.0,50304.0,3.2,375.0,,0.91,7,262.0,-6,225.7
1980-02-04,5.2,44944.0,5.4,328.0,,1.18,10,258.0,-4,231.7
1980-02-05,5.4,33691.0,5.0,328.0,,1.07,7,252.0,-3,218.9
1980-02-06,14.5,129957.0,7.9,457.0,,3.42,37,296.0,-32,221.7
1980-02-07,8.2,98474.0,4.2,478.0,,1.92,27,312.0,-49,223.9
1980-02-08,5.1,77828.0,3.2,459.0,,1.42,30,287.0,-39,218.7
1980-02-09,6.3,123711.0,3.0,442.0,,1.21,27,244.0,-25,208.2
1980-02-10,5.2,61641.0,2.7,402.0,,0.88,10,198.0,-13,204.6
1980-02-11,4.3,153042.0,3.0,416.0,,1.06,10,210.0,-4,213.7
