,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1976-03-01,5.2,186873.0,4.1,576.0,0.036,2.66,33,0.0,-21,67.7
1976-03-02,,215624.0,4.0,615.0,0.042,2.88,43,0.0,-21,68.1
1976-03-03,,208601.0,3.0,628.0,0.05,2.34,40,0.0,-27,67.4
1976-03-04,,,,,,,27,0.0,-19,67.4
1976-03-05,,,,,,,27,0.0,-14,67.6
1976-03-06,7.6,366238.0,4.8,610.0,0.068,3.66,40,15.0,-20,67.5
1976-03-07,6.8,246879.0,4.4,593.0,0.059,3.1,40,18.0,-27,67.9
1976-03-08,5.1,288011.0,3.2,647.0,0.05,2.64,47,11.0,-39,67.9
1976-03-09,5.9,332560.0,3.8,666.0,0.05,3.29,47,15.0,-23,68.2
1976-03-10,5.9,280438.0,2.9,669.0,0.051,2.61,43,18.0,-29,68.4
1976-03-11,5.6,281506.0,3.0,659.0,0.051,2.57,40,19.0,-26,68.8
1976-03-12,4.8,204901.0,2.9,634.0,0.052,2.39,40,19.0,-27,68.9
1976-03-13,4.3,171406.0,3.3,555.0,0.052,2.28,27,19.0,-20,70.9
1976-03-14,,94440.0,6.5,435.0,0.037,2.37,27,32.0,-19,70.1
1976-03-15,,79018.0,14.6,416.0,0.02,4.86,30,24.0,-12,69.1
1976-03-16,,,,,,,33,17.0,-11,72.5
1976-03-17,,,,,,,33,43.0,-14,74.4
1976-03-18,6.2,222344.0,3.0,619.0,0.018,2.09,27,61.0,-11,79.0
1976-03-19,4.8,224833.0,3.5,611.0,0.032,2.47,23,67.0,-8,81.6
1976-03-20,4.5,204344.0,3.6,590.0,0.035,2.43,20,68.0,-3,85.0
1976-03-21,4.0,144648.0,3.0,485.0,0.024,1.31,13,62.0,-4,91.2
1976-03-22,3.7,72725.0,4.6,399.0,0.015,1.24,7,51.0,0,83.0
1976-03-23,3.2,32147.0,11.4,356.0,0.025,2.65,13,37.0,8,86.9
1976-03-24,3.9,48845.0,6.5,365.0,0.027,1.51,10,32.0,-3,82.2
1976-03-25,3.7,20439.0,16.5,323.0,0.009,3.0,10,32.0,16,85.1
1976-03-26,15.1,102083.0,25.3,418.0,0.028,7.49,70,54.0,-142,84.1
1976-03-27,,221438.0,4.9,578.0,0.038,3.13,43,64.0,-76,85.5
1976-03-28,,134335.0,4.3,547.0,0.017,2.32,27,61.0,-58,87.1
1976-03-29,,,,,,,27,54.0,-45,84.0
1976-03-30,,,,,,,23,45.0,-30,82.4
1976-03-31,4.6,101245.0,9.3,373.0,0.052,2.63,20,37.0,-25,82.7
1976-04-01,11.9,72496.0,4.6,437.0,0.077,2.0,60,33.0,-137,79.6
1976-04-02,8.6,148450.0,4.4,460.0,0.075,2.11,27,33.0,-70,76.8
1976-04-03,8.8,244712.0,3.9,547.0,0.032,2.25,47,31.0,-76,76.1
1976-04-04,6.0,261272.0,3.2,673.0,0.045,2.88,40,19.0,-54,74.7
1976-04-05,5.4,233491.0,3.4,614.0,0.04,2.52,40,18.0,-49,73.0
1976-04-06,5.2,220000.0,3.5,626.0,0.04,2.67,43,14.0,-42,71.3
1976-04-07,5.6,263348.0,3.2,654.0,0.04,2.65,40,0.0,-38,70.3
1976-04-08,,137678.0,2.7,582.0,0.041,1.73,27,0.0,-34,71.9
1976-04-09,,148228.0,4.2,508.0,0.033,2.07,30,12.0,-25,74.1
1976-04-10,,,,,,,23,15.0,-24,75.3
1976-04-11,,,,,,,27,22.0,-12,77.1
1976-04-12,6.2,236732.0,3.4,626.0,0.06,2.7,20,25.0,-18,78.1
1976-04-13,4.5,272302.0,3.6,647.0,0.059,3.09,27,25.0,-11,79.6
1976-04-14,4.6,202205.0,2.7,629.0,0.059,2.19,30,28.0,-14,79.5
1976-04-15,4.7,136272.0,3.6,488.0,0.042,1.65,10,28.0,-12,79.2
1976-04-16,5.4,67016.0,9.3,428.0,0.026,3.15,20,28.0,-2,80.6
1976-04-17,3.8,49430.0,7.7,399.0,0.036,2.35,13,32.0,-4,80.5
1976-04-18,2.5,29293.0,7.6,356.0,0.018,1.73,3,39.0,0,80.5
1976-04-19,3.5,31781.0,11.7,333.0,0.018,2.35,13,39.0,-2,79.8
1976-04-20,5.6,40566.0,12.7,331.0,0.018,2.47,3,43.0,3,80.0
1976-04-21,,45993.0,14.5,331.0,0.008,2.69,13,52.0,0,78.0
1976-04-22,,40879.0,21.4,329.0,0.016,4.12,33,29.0,-19,76.2
1976-04-23,,,,,,,17,25.0,-12,75.7
1976-04-24,,,,,,,30,24.0,-18,76.8
1976-04-25,5.3,84540.0,5.7,387.0,0.039,1.66,20,25.0,-18,75.7
1976-04-26,5.8,65951.0,8.3,374.0,0.034,2.17,13,37.0,-8,75.7
1976-04-27,5.2,49757.0,17.0,365.0,0.021,4.09,23,33.0,-4,74.6
1976-04-28,5.5,69952.0,11.2,385.0,0.046,3.24,23,31.0,-6,73.4
1976-04-29,7.2,112029.0,9.9,412.0,0.054,3.31,30,35.0,-11,79.6
1976-04-30,4.3,199656.0,3.4,509.0,0.065,1.86,23,45.0,-22,79.5
1976-05-01,4.9,89844.0,7.2,427.0,0.051,2.61,23,43.0,-10,77.6
1976-05-02,8.0,300953.0,8.0,559.0,0.035,5.25,47,33.0,-25,74.2
1976-05-03,11.1,42793.0,15.9,679.0,0.028,14.95,57,36.0,-76,71.9
1976-05-04,,101615.0,1.7,574.0,0.043,1.14,33,12.0,-46,71.5
1976-05-05,,,,,,,27,31.0,-27,71.1
1976-05-06,,,,,,,20,15.0,-24,69.9
1976-05-07,4.8,67729.0,10.0,402.0,,3.23,23,15.0,-24,70.3
1976-05-08,6.1,87267.0,13.7,401.0,0.025,3.91,23,14.0,-10,70.2
1976-05-09,4.0,88377.0,6.4,418.0,0.04,2.17,10,12.0,-12,70.6
1976-05-10,5.3,85414.0,7.5,425.0,0.045,2.67,17,15.0,-4,71.7
1976-05-11,6.3,102995.0,8.8,451.0,0.041,3.46,27,24.0,-8,72.5
1976-05-12,6.1,213329.0,4.5,554.0,0.045,2.69,17,25.0,-12,72.6
1976-05-13,7.4,152094.0,5.2,495.0,0.043,2.48,17,33.0,-3,73.6
1976-05-14,3.6,113343.0,2.7,459.0,0.032,1.11,10,43.0,-6,74.2
1976-05-15,4.5,46389.0,7.1,358.0,0.012,1.58,13,25.0,-2,76.9
1976-05-16,,34981.0,12.9,325.0,0.009,2.35,13,18.0,1,79.2
1976-05-17,,22589.0,13.8,306.0,0.005,2.3,7,26.0,1,76.5
1976-05-18,,,,,,,7,12.0,8,75.6
1976-05-19,8.6,543065.0,20.2,420.0,,7.13,20,29.0,9,73.8
1976-05-20,7.2,273388.0,7.2,504.0,0.053,3.56,33,29.0,-25,73.0
1976-05-21,5.8,108331.0,11.3,428.0,0.047,3.93,23,19.0,-8,74.0
1976-05-22,7.2,175262.0,9.7,462.0,0.059,3.99,27,11.0,-6,72.5
1976-05-23,6.1,111304.0,7.6,450.0,0.037,2.91,27,22.0,-19,71.9
1976-05-24,4.1,75068.0,10.4,411.0,0.035,3.33,17,12.0,-3,70.8
1976-05-25,4.7,91929.0,11.0,432.0,0.031,3.79,20,0.0,-1,69.8
1976-05-26,4.0,105537.0,4.9,429.0,0.057,1.87,17,11.0,-4,69.5
1976-05-27,4.0,87590.0,5.1,406.0,0.057,1.72,13,0.0,-2,69.6
1976-05-28,6.8,127188.0,8.5,426.0,0.039,2.8,27,0.0,-15,69.0
1976-05-29,,114196.0,6.0,432.0,0.041,2.2,33,0.0,-14,68.0
1976-05-30,,,,,,,30,0.0,-22,68.1
1976-05-31,,,,,,,23,0.0,-16,68.7
1976-06-01,5.5,145380.0,9.2,426.0,0.045,3.29,17,0.0,-7,68.4
1976-06-02,4.7,82206.0,7.6,402.0,0.047,2.46,17,0.0,-4,67.9
1976-06-03,5.3,69610.0,14.2,384.0,0.025,3.84,23,0.0,-1,68.1
1976-06-04,5.0,202949.0,4.4,573.0,0.046,2.84,30,0.0,-11,68.4
1976-06-05,6.3,309270.0,5.6,613.0,0.052,4.23,33,0.0,-11,68.7
1976-06-06,4.5,202633.0,3.8,596.0,0.05,2.69,20,0.0,-8,69.3
1976-06-07,5.0,222302.0,4.1,603.0,0.049,2.92,27,0.0,-6,69.0
1976-06-08,4.3,192322.0,3.3,587.0,0.044,2.22,20,15.0,-7,70.7
1976-06-09,3.3,118715.0,2.5,482.0,0.032,1.07,10,15.0,-9,70.1
1976-06-10,4.1,42524.0,7.0,405.0,0.024,2.11,13,11.0,0,71.0
