,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
2014-04-01,5.3,126845.0,3.7,407.0,0.047,1.22,10.0,96.0,-4.0,153.1
2014-04-02,5.1,82753.0,3.2,416.0,0.043,1.07,7.0,114.0,-1.0,154.6
2014-04-03,5.0,66016.0,4.8,385.0,0.049,1.41,13.0,133.0,0.0,153.0
2014-04-04,4.5,96226.0,3.9,425.0,0.045,1.4,13.0,158.0,1.0,157.0
2014-04-05,6.3,89998.0,12.3,448.0,0.039,4.86,23.0,135.0,1.0,142.3
2014-04-06,13.8,45068.0,6.2,380.0,0.113,2.21,7.0,121.0,-3.0,141.2
2014-04-07,7.8,78345.0,7.4,372.0,0.057,2.03,23.0,114.0,-10.0,140.2
2014-04-08,5.6,155028.0,2.9,419.0,0.031,0.95,10.0,117.0,-13.0,132.4
2014-04-09,5.3,91875.0,1.2,444.0,0.038,0.48,10.0,94.0,-11.0,131.0
2014-04-10,4.0,36817.0,1.3,393.0,0.025,0.38,3.0,65.0,-7.0,137.3
2014-04-11,6.8,25138.0,5.8,373.0,0.024,1.46,17.0,61.0,-6.0,138.2
2014-04-12,9.9,31936.0,9.0,339.0,0.03,1.92,33.0,73.0,-65.0,136.5
2014-04-13,6.6,85409.0,6.3,351.0,0.058,1.57,30.0,80.0,-43.0,137.9
2014-04-14,5.4,56557.0,3.7,365.0,0.053,0.99,17.0,105.0,-24.0,151.2
2014-04-15,3.1,47257.0,3.8,348.0,0.047,0.92,13.0,145.0,-17.0,163.0
2014-04-16,3.8,29130.0,8.2,311.0,0.024,1.43,7.0,187.0,-3.0,185.2
2014-04-17,8.0,129317.0,10.3,371.0,0.047,2.72,23.0,199.0,-8.0,180.3
2014-04-18,7.4,128369.0,4.3,443.0,0.044,1.65,17.0,178.0,-3.0,173.7
2014-04-19,7.6,46117.0,6.3,497.0,0.046,3.11,27.0,178.0,-5.0,170.8
2014-04-20,7.6,236737.0,6.6,590.0,0.064,5.03,33.0,173.0,0.0,164.1
2014-04-21,6.2,63405.0,4.7,579.0,0.048,3.22,30.0,150.0,-17.0,160.4
2014-04-22,3.7,29754.0,2.4,486.0,0.04,1.15,7.0,123.0,-12.0,146.3
2014-04-23,4.6,42559.0,2.5,422.0,0.06,0.91,13.0,85.0,-8.0,137.6
2014-04-24,4.8,115932.0,3.3,431.0,0.058,1.25,27.0,72.0,-13.0,131.6
2014-04-25,3.8,77934.0,2.4,426.0,0.043,0.85,20.0,57.0,-15.0,126.2
2014-04-26,3.4,35663.0,3.2,371.0,0.045,0.85,13.0,45.0,-18.0,122.3
2014-04-27,3.4,31893.0,4.4,334.0,0.052,0.98,7.0,77.0,-4.0,119.6
2014-04-28,3.4,20260.0,6.7,308.0,0.052,1.25,10.0,80.0,-9.0,122.5
2014-04-29,3.8,15740.0,10.4,278.0,0.034,1.56,7.0,77.0,3.0,121.8
2014-04-30,9.2,25404.0,12.0,305.0,0.033,2.11,30.0,82.0,-46.0,125.5
2014-05-01,7.5,81334.0,7.3,341.0,0.057,1.71,10.0,88.0,-16.0,127.7
2014-05-02,3.2,31103.0,4.5,346.0,0.032,1.01,3.0,115.0,-6.0,137.6
2014-05-03,3.9,20947.0,11.2,323.0,0.022,2.14,10.0,123.0,3.0,134.8
2014-05-04,6.5,63090.0,13.6,349.0,0.031,3.11,27.0,127.0,-30.0,133.7
2014-05-05,7.6,47051.0,6.2,354.0,0.032,1.48,20.0,142.0,-17.0,141.5
2014-05-06,4.8,51852.0,2.3,368.0,0.025,0.58,3.0,148.0,-8.0,141.3
2014-05-07,3.7,26036.0,3.7,338.0,0.026,0.79,7.0,120.0,-3.0,148.6
2014-05-08,7.8,54137.0,13.0,346.0,0.032,2.91,33.0,132.0,-26.0,150.8
2014-05-09,5.7,95937.0,6.4,375.0,0.035,1.71,13.0,139.0,-20.0,155.2
2014-05-10,6.8,71638.0,6.1,367.0,0.019,1.49,17.0,123.0,-15.0,155.1
2014-05-11,6.7,77338.0,6.4,394.0,0.051,2.0,23.0,150.0,-20.0,167.7
2014-05-12,4.0,73309.0,4.2,422.0,0.055,1.53,17.0,154.0,-15.0,166.3
2014-05-13,2.3,27362.0,8.4,356.0,0.042,2.0,7.0,133.0,1.0,162.7
2014-05-14,5.1,35759.0,6.1,341.0,0.04,1.35,10.0,166.0,3.0,166.7
2014-05-15,5.4,47275.0,6.1,336.0,0.046,1.37,10.0,156.0,7.0,155.5
2014-05-16,6.7,44934.0,6.4,337.0,0.051,1.47,10.0,133.0,3.0,141.8
2014-05-17,5.4,48565.0,4.1,334.0,0.058,0.95,7.0,151.0,0.0,136.6
2014-05-18,4.4,52480.0,5.3,337.0,0.062,1.25,10.0,138.0,3.0,130.4
2014-05-19,4.6,46069.0,6.0,343.0,0.048,1.4,10.0,102.0,3.0,119.7
2014-05-20,4.1,45555.0,4.7,336.0,0.059,1.1,7.0,87.0,1.0,120.1
2014-05-21,3.9,25620.0,7.1,318.0,0.039,1.37,3.0,85.0,9.0,116.7
2014-05-22,7.4,63401.0,9.7,332.0,0.048,2.12,17.0,66.0,4.0,114.1
2014-05-23,10.6,165106.0,5.0,459.0,0.03,1.92,27.0,91.0,-13.0,119.2
2014-05-24,3.7,75107.0,1.8,456.0,0.049,0.76,10.0,109.0,-17.0,127.7
2014-05-25,2.9,56780.0,2.5,421.0,0.06,0.9,7.0,109.0,-9.0,116.0
2014-05-26,2.8,46340.0,2.7,359.0,0.046,0.72,7.0,91.0,-6.0,111.1
2014-05-27,2.9,29828.0,7.0,310.0,0.044,1.33,7.0,78.0,4.0,108.7
2014-05-28,4.7,61616.0,6.0,323.0,0.04,1.2,10.0,70.0,2.0,102.1
2014-05-29,5.1,52251.0,6.9,336.0,0.031,1.49,13.0,48.0,-5.0,105.5
2014-05-30,7.5,36401.0,9.3,338.0,0.018,1.91,20.0,55.0,-4.0,104.4
2014-05-31,9.0,19710.0,12.7,329.0,0.032,2.61,3.0,57.0,7.0,106.6
2014-06-01,5.5,23673.0,9.4,300.0,0.039,1.65,7.0,64.0,10.0,106.2
2014-06-02,4.9,30935.0,11.1,294.0,0.012,1.69,7.0,62.0,9.0,108.3
2014-06-03,7.8,51543.0,12.0,325.0,0.027,2.28,13.0,74.0,5.0,110.1
2014-06-04,5.4,50904.0,9.7,332.0,0.04,2.05,13.0,64.0,2.0,108.5
2014-06-05,5.0,55099.0,7.8,335.0,0.044,1.71,17.0,87.0,-1.0,113.8
2014-06-06,5.2,51555.0,6.8,347.0,0.026,1.51,10.0,119.0,-2.0,136.9
2014-06-07,7.3,57126.0,9.2,368.0,0.041,2.73,23.0,133.0,4.0,140.8
2014-06-08,11.7,147594.0,12.8,531.0,0.059,7.12,40.0,142.0,-19.0,153.1
2014-06-09,4.1,26651.0,1.5,516.0,0.058,0.83,10.0,156.0,-23.0,166.1
2014-06-10,5.1,54241.0,2.7,428.0,0.052,1.0,17.0,162.0,-5.0,171.3
2014-06-11,4.2,135940.0,2.4,541.0,0.044,1.36,17.0,174.0,0.0,173.6
2014-06-12,3.7,91290.0,1.8,454.0,0.061,0.69,7.0,197.0,-3.0,179.9
2014-06-13,5.5,57300.0,7.3,351.0,0.055,1.85,10.0,182.0,12.0,157.5
2014-06-14,5.1,77404.0,6.1,386.0,0.05,1.82,17.0,137.0,0.0,148.0
2014-06-15,5.0,56189.0,4.5,370.0,0.047,1.23,7.0,74.0,1.0,134.3
2014-06-16,4.9,49647.0,5.8,357.0,0.043,1.46,13.0,84.0,2.0,120.5
2014-06-17,6.4,78375.0,7.7,374.0,0.045,2.07,17.0,95.0,-1.0,118.0
2014-06-18,7.0,193598.0,4.7,429.0,0.042,1.7,30.0,120.0,-21.0,114.4
2014-06-19,5.8,109692.0,4.2,438.0,0.056,1.59,20.0,95.0,-14.0,114.7
2014-06-20,5.7,70254.0,7.0,428.0,0.072,2.75,20.0,80.0,-2.0,105.5
2014-06-21,4.2,91660.0,2.5,439.0,0.04,0.93,13.0,93.0,-9.0,104.5
2014-06-22,3.4,34246.0,2.3,382.0,0.036,0.63,7.0,90.0,-7.0,97.3
2014-06-23,2.8,10064.0,2.9,351.0,0.023,0.66,7.0,77.0,0.0,95.6
2014-06-24,4.1,35587.0,7.8,330.0,0.034,1.66,13.0,40.0,2.0,96.6
2014-06-25,4.8,28254.0,12.5,316.0,0.024,2.29,13.0,55.0,6.0,100.2
2014-06-26,4.9,64935.0,5.8,344.0,0.046,1.36,7.0,67.0,2.0,103.3
2014-06-27,3.9,36961.0,4.7,327.0,0.05,1.0,7.0,67.0,3.0,107.6
2014-06-28,6.1,48373.0,8.6,314.0,0.047,1.7,13.0,71.0,4.0,118.4
2014-06-29,4.7,55490.0,8.9,344.0,0.057,2.19,13.0,93.0,6.0,129.9
2014-06-30,7.1,62647.0,8.7,346.0,0.05,2.08,10.0,132.0,4.0,145.2
2014-07-01,3.6,38805.0,5.8,326.0,0.044,1.19,7.0,134.0,4.0,156.9
2014-07-02,2.5,22056.0,9.3,309.0,0.022,1.6,10.0,145.0,12.0,175.1
2014-07-03,5.0,36769.0,9.3,322.0,0.023,1.79,13.0,167.0,-1.0,184.1
2014-07-04,3.0,27188.0,7.9,320.0,0.023,1.46,10.0,172.0,1.0,193.9
2014-07-05,2.7,15150.0,7.5,292.0,0.011,1.11,7.0,194.0,8.0,199.4
2014-07-06,3.8,20969.0,10.6,273.0,0.011,1.41,7.0,185.0,12.0,207.7
2014-07-07,6.6,36985.0,9.9,289.0,0.03,1.44,13.0,197.0,7.0,204.5
2014-07-08,7.0,49842.0,7.0,313.0,0.06,1.41,13.0,183.0,8.0,208.1
2014-07-09,5.7,70319.0,7.6,342.0,0.061,1.85,17.0,162.0,2.0,205.0
2014-07-10,5.2,85028.0,5.3,388.0,0.051,1.61,17.0,161.0,-9.0,183.3
2014-07-11,3.9,35834.0,4.1,369.0,0.043,1.11,13.0,144.0,-7.0,171.8
2014-07-12,5.6,30149.0,3.8,359.0,0.041,0.95,13.0,119.0,-11.0,149.9
2014-07-13,7.4,29534.0,5.2,346.0,0.048,1.23,10.0,86.0,-1.0,131.0
2014-07-14,11.2,40466.0,14.0,343.0,0.041,3.2,17.0,62.0,18.0,113.0
