,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1964-10-01,,,,447.0,,,20,25.0,-11,72.0
1964-10-02,,,,405.0,,,10,18.0,-6,71.6
1964-10-03,,,,390.0,,,20,0.0,-1,71.8
1964-10-04,,,,722.0,,,40,0.0,-7,70.8
1964-10-05,,,,711.0,,,33,0.0,-12,71.6
1964-10-06,,,,679.0,,,27,21.0,-5,72.6
1964-10-07,,,,543.0,,,27,29.0,-14,74.0
1964-10-08,,,,503.0,,,30,24.0,-10,76.8
1964-10-09,,,,490.0,,,27,17.0,-13,72.9
1964-10-10,,,,446.0,,,10,0.0,-9,72.7
1964-10-11,,,,386.0,,,7,0.0,1,71.5
1964-10-12,,,,,,,27,0.0,-15,69.7
1964-10-13,,,,417.0,,,20,0.0,-11,71.9
1964-10-14,,,,416.0,,,17,0.0,-6,70.3
1964-10-15,,,,380.0,,,17,0.0,-4,70.2
1964-10-16,,,,505.0,,,10,0.0,1,70.5
1964-10-17,,,,343.0,,,17,0.0,1,70.4
1964-10-18,,,,424.0,,,27,18.0,3,71.8
1964-10-19,,,,574.0,,,40,17.0,-9,72.2
1964-10-20,,,,608.0,,,27,15.0,-8,71.9
1964-10-21,,,,538.0,,,30,0.0,-10,70.3
1964-10-22,,,,494.0,,,10,0.0,-8,71.8
1964-10-23,,,,412.0,,,0,0.0,-2,72.3
1964-10-24,,,,368.0,,,10,11.0,7,73.0
1964-10-25,,,,402.0,,,10,12.0,1,75.4
1964-10-26,,,,463.0,,,27,11.0,-12,75.4
1964-10-27,,,,419.0,,,17,14.0,-14,74.9
1964-10-28,,,,382.0,,,13,0.0,-4,73.5
1964-10-29,,,,,,,17,14.0,-9,73.2
1964-10-30,,,,345.0,,,7,24.0,-6,73.2
1964-10-31,,,,324.0,,,3,14.0,0,74.0
1964-11-01,,,,414.0,,,27,14.0,6,73.6
1964-11-02,,,,,,,23,12.0,-13,73.3
1964-11-03,,,,,,,10,12.0,-10,72.7
1964-11-04,,,,436.0,,,17,0.0,-3,72.1
1964-11-05,,,,434.0,,,20,0.0,-6,71.6
1964-11-06,,,,,,,10,11.0,-3,72.6
1964-11-07,,,,398.0,,,3,11.0,4,71.5
1964-11-08,,,,423.0,,,20,11.0,9,71.1
1964-11-09,,,,504.0,,,33,0.0,-7,70.4
1964-11-10,,,,464.0,,,20,0.0,-4,70.1
1964-11-11,,,,472.0,,,13,0.0,6,70.2
1964-11-12,,,,442.0,,,20,14.0,-1,70.7
1964-11-13,,,,406.0,,,10,11.0,-5,70.7
1964-11-14,,,,,,,0,25.0,0,71.1
1964-11-15,,,,530.0,,,23,12.0,7,70.6
1964-11-16,,,,520.0,,,23,24.0,-8,70.3
1964-11-17,,,,455.0,,,13,22.0,-1,73.7
1964-11-18,,,,519.0,,,13,28.0,4,73.3
1964-11-19,,,,,,,7,18.0,3,73.1
1964-11-20,,,,390.0,,,7,28.0,7,74.0
