,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1986-10-01,5.6,100960.0,10.4,440.0,0.033,3.52,17,14.0,-8,71.2
1986-10-02,7.4,89579.0,12.0,431.0,0.037,4.5,33,16.0,-17,71.6
1986-10-03,4.5,63031.0,11.1,420.0,,4.13,20,26.0,-14,72.1
1986-10-04,6.1,122466.0,7.2,419.0,,2.51,17,27.0,-12,70.7
1986-10-05,6.6,172027.0,7.0,491.0,0.06,3.29,33,27.0,-20,71.1
1986-10-06,4.7,119694.0,3.9,514.0,0.062,2.14,23,25.0,-18,72.4
1986-10-07,3.2,67041.0,5.0,436.0,0.059,1.94,13,31.0,-11,74.3
1986-10-08,3.8,44619.0,13.6,376.0,0.035,3.61,13,23.0,-3,74.8
1986-10-09,5.0,36759.0,11.2,375.0,0.038,3.03,13,36.0,-7,74.6
1986-10-10,,,,,,,7,33.0,-3,73.3
1986-10-11,,,,,,,10,26.0,-3,73.2
1986-10-12,,,,,,,7,30.0,-2,75.3
1986-10-13,,,,,,,30,25.0,-11,75.1
1986-10-14,9.6,389856.0,8.0,593.0,0.081,5.63,40,0.0,-51,75.0
1986-10-15,6.1,217580.0,2.8,653.0,0.048,2.4,27,0.0,-29,71.8
1986-10-16,3.6,104817.0,2.9,552.0,0.036,1.71,13,12.0,-19,79.1
1986-10-17,4.9,98020.0,5.5,462.0,0.033,2.15,17,18.0,-11,82.6
1986-10-18,6.6,266233.0,8.1,517.0,0.028,4.16,23,25.0,-4,86.3
1986-10-19,6.0,216125.0,4.2,613.0,0.044,3.09,37,35.0,-20,88.6
1986-10-20,5.9,262518.0,4.4,599.0,0.056,3.17,27,44.0,-13,92.2
1986-10-21,5.9,185612.0,3.1,629.0,0.042,2.4,23,53.0,-14,91.5
1986-10-22,5.1,,,,,,13,65.0,-14,94.4
1986-10-23,,,,,,,13,81.0,-5,97.9
1986-10-24,,,,,,,3,86.0,-8,97.3
1986-10-25,,,,,,,10,77.0,1,94.4
1986-10-26,,,,,,,7,68.0,0,94.2
1986-10-27,7.4,129808.0,7.6,388.0,0.034,2.19,30,74.0,-29,94.3
1986-10-28,6.3,106137.0,5.8,391.0,0.045,1.75,17,69.0,-22,93.6
1986-10-29,4.8,60939.0,11.6,449.0,0.026,4.34,30,71.0,-12,91.4
1986-10-30,6.7,64478.0,11.5,406.0,0.01,3.35,30,70.0,-18,89.8
1986-10-31,4.2,34165.0,8.4,343.0,0.012,1.73,17,57.0,-22,89.2
1986-11-01,8.6,41531.0,16.8,347.0,0.032,3.81,23,45.0,-19,87.6
1986-11-02,5.7,62655.0,13.7,382.0,0.037,3.81,17,36.0,1,84.1
1986-11-03,4.7,82725.0,10.0,429.0,0.018,3.41,27,38.0,-4,80.8
1986-11-04,19.1,,,,,,57,38.0,-66,82.3
1986-11-05,,,,,,,30,36.0,-50,81.5
1986-11-06,,,,,,,27,31.0,-28,80.6
1986-11-07,,,,,,,13,24.0,-21,76.9
1986-11-08,,,,,,,13,15.0,-16,73.5
1986-11-09,6.4,68510.0,4.1,392.0,0.032,1.21,7,10.0,-15,71.9
1986-11-10,6.0,51350.0,9.7,382.0,0.031,2.66,10,9.0,-4,70.4
1986-11-11,8.6,96238.0,12.3,419.0,0.046,4.27,27,9.0,-22,69.9
1986-11-12,5.1,131656.0,4.5,456.0,0.055,1.87,17,0.0,-16,71.4
1986-11-13,4.4,44086.0,13.6,383.0,0.027,3.84,13,14.0,-3,76.0
1986-11-14,3.7,39739.0,13.5,373.0,0.027,3.57,13,12.0,1,74.1
1986-11-15,8.8,149519.0,11.1,435.0,0.03,3.76,27,12.0,-6,75.1
1986-11-16,7.8,165847.0,4.9,528.0,,2.72,27,12.0,-11,75.0
1986-11-17,,,,,,,20,12.0,-5,73.8
1986-11-18,,,,,,,13,12.0,-3,73.0
1986-11-19,,,,,,,10,12.0,2,72.5
1986-11-20,,,,,,,13,12.0,-2,72.5
1986-11-21,4.2,39836.0,13.0,365.0,0.018,3.12,7,11.0,5,74.1
1986-11-22,6.5,45326.0,8.9,366.0,0.016,2.1,3,10.0,6,74.5
1986-11-23,7.6,44765.0,10.9,367.0,0.03,2.7,17,18.0,2,75.8
1986-11-24,15.6,93119.0,10.7,469.0,0.033,4.47,47,12.0,-36,77.0
1986-11-25,8.9,95824.0,9.2,437.0,0.049,3.5,50,0.0,-78,75.5
1986-11-26,6.2,54896.0,6.2,396.0,0.047,1.91,30,0.0,-54,74.3
1986-11-27,4.9,67370.0,5.9,410.0,0.042,1.95,20,13.0,-36,73.6
1986-11-28,4.8,30576.0,10.1,351.0,0.03,2.25,13,0.0,-25,73.1
1986-11-29,6.0,,,,,,23,8.0,-28,72.4
1986-11-30,,,,,,,27,0.0,-31,70.9
1986-12-01,,,,,,,27,0.0,-26,70.7
1986-12-02,,,,,,,20,0.0,-20,70.6
1986-12-03,,,,,,,17,0.0,-17,70.2
1986-12-04,6.1,37891.0,15.8,351.0,0.013,3.45,17,0.0,-11,69.2
1986-12-05,5.0,59923.0,8.7,353.0,0.021,1.93,7,0.0,-7,70.0
1986-12-06,5.3,33662.0,17.6,318.0,0.023,3.27,10,0.0,-2,69.1
1986-12-07,6.8,63292.0,15.2,349.0,0.041,3.49,17,0.0,-4,68.2
1986-12-08,6.1,30855.0,12.2,343.0,0.02,2.61,10,0.0,-1,69.1
