,"Scalar B, nT","SW Plasma Temperature, K","SW Proton Density, N/cm^3","SW Plasma Speed, km/s",Alpha/Prot. ratio,Flow pressure,Kp index,R (Sunspot No.),"Dst-index, nT",f10.7_index
1968-03-01,5.9,68521.0,2.6,453.0,,1.06,20,153.0,-35,162.8
1968-03-02,6.0,64374.0,3.2,415.0,,1.1,23,156.0,-28,164.4
1968-03-03,7.4,48208.0,3.7,399.0,,1.18,27,130.0,-34,150.8
1968-03-04,7.8,43512.0,5.4,396.0,,1.67,30,122.0,-39,144.5
1968-03-05,8.9,67732.0,7.4,404.0,,2.41,33,109.0,-40,137.8
1968-03-06,6.6,94476.0,3.2,426.0,,1.16,17,95.0,-30,136.0
1968-03-07,5.1,62201.0,2.8,399.0,,0.9,13,82.0,-23,131.6
1968-03-08,5.6,36433.0,3.8,357.0,,0.96,10,95.0,-15,124.1
1968-03-09,5.2,84909.0,4.9,327.0,,1.05,10,92.0,-9,122.8
1968-03-10,8.1,75679.0,10.6,370.0,,2.86,27,105.0,-12,124.1
1968-03-11,,72208.0,8.2,388.0,,2.47,20,120.0,-15,128.3
1968-03-12,6.9,33509.0,9.1,381.0,,2.62,17,123.0,-13,130.4
1968-03-13,5.4,45501.0,11.1,354.0,,2.77,13,126.0,-5,127.8
1968-03-14,9.9,183012.0,18.6,460.0,,7.07,37,95.0,-6,127.9
1968-03-15,7.7,196965.0,4.2,630.0,,3.29,40,84.0,-24,125.9
1968-03-16,5.8,133324.0,2.4,648.0,,2.02,37,65.0,-22,128.2
1968-03-17,5.3,108209.0,1.8,601.0,,1.3,23,84.0,-16,135.2
1968-03-18,5.5,92018.0,2.1,582.0,,1.4,27,84.0,-11,132.2
1968-03-19,6.0,189622.0,2.4,612.0,,1.83,23,75.0,-9,130.1
1968-03-20,4.7,122474.0,1.7,602.0,,1.23,33,85.0,-14,129.6
1968-03-21,3.7,74160.0,1.9,528.0,,1.06,17,99.0,-10,140.0
1968-03-22,4.0,105025.0,1.8,471.0,,0.79,13,129.0,-8,142.2
1968-03-23,5.3,63711.0,4.1,433.0,,1.54,20,160.0,-2,145.5
1968-03-24,6.9,113480.0,5.2,487.0,,2.38,37,187.0,-21,154.4
1968-03-25,6.0,99996.0,2.2,505.0,,1.1,33,202.0,-25,156.0
1968-03-26,5.3,58284.0,3.1,457.0,,1.31,27,200.0,-20,156.8
1968-03-27,5.7,72040.0,3.1,461.0,,1.31,30,207.0,-34,159.2
1968-03-28,5.3,73381.0,2.7,461.0,,1.17,27,195.0,-23,157.1
1968-03-29,6.6,53621.0,3.6,415.0,,1.22,30,180.0,-30,156.2
1968-03-30,7.2,120878.0,4.8,478.0,,2.15,37,218.0,-37,160.3
1968-03-31,6.8,125611.0,1.9,547.0,,1.06,30,190.0,-33,155.8
1968-04-01,6.0,172099.0,1.2,624.0,,0.94,40,173.0,-44,143.8
1968-04-02,3.9,99314.0,1.4,537.0,,0.82,27,153.0,-26,144.1
1968-04-03,4.9,69234.0,2.3,482.0,,1.04,27,139.0,-26,137.1
1968-04-04,5.8,49903.0,4.0,363.0,,1.06,20,136.0,-28,131.7
1968-04-05,10.7,82192.0,12.4,374.0,,3.88,33,126.0,-25,129.1
1968-04-06,8.7,136679.0,3.9,623.0,,2.78,43,120.0,-54,125.1
1968-04-07,4.4,169823.0,2.4,608.0,,1.75,23,112.0,-24,124.7
1968-04-08,3.5,49166.0,2.0,504.0,,1.06,7,116.0,-15,130.7
1968-04-09,3.6,29067.0,3.6,382.0,,1.07,3,133.0,-1,141.1
1968-04-10,4.9,129289.0,6.8,362.0,,1.54,17,147.0,-5,142.8
1968-04-11,7.7,48834.0,15.8,372.0,,4.46,23,135.0,3,138.4
1968-04-12,12.3,127622.0,6.3,345.0,,1.58,23,118.0,12,142.7
1968-04-13,8.5,135979.0,5.8,504.0,,2.89,37,85.0,-14,141.9
1968-04-14,6.4,117250.0,3.0,558.0,,1.85,37,136.0,-18,138.3
1968-04-15,,,,612.0,,,30,156.0,-12,140.0
1968-04-16,5.8,196280.0,2.2,601.0,,1.59,27,161.0,-10,141.0
1968-04-17,4.6,122615.0,2.1,554.0,,1.3,23,129.0,-13,132.2
1968-04-18,4.1,95969.0,2.1,527.0,,1.14,20,89.0,-5,127.7
1968-04-19,3.4,67788.0,2.3,455.0,,0.97,7,75.0,1,125.3
1968-04-20,3.4,60734.0,2.8,378.0,,0.8,3,89.0,3,122.4
1968-04-21,3.8,51120.0,8.5,342.0,,1.94,10,91.0,11,123.4
1968-04-22,5.6,59592.0,11.7,348.0,,2.68,20,96.0,-2,115.6
1968-04-23,6.2,106801.0,5.5,398.0,,1.75,27,71.0,-16,111.7
1968-04-24,5.2,88569.0,4.4,380.0,,1.27,17,68.0,-13,117.5
1968-04-25,5.7,69114.0,4.9,358.0,,1.26,13,91.0,-1,119.9
1968-04-26,9.6,126252.0,6.6,416.0,,2.11,37,71.0,-22,114.3
1968-04-27,8.0,174229.0,3.3,550.0,,1.99,33,81.0,-25,119.1
1968-04-28,5.4,109963.0,1.7,546.0,,1.0,30,116.0,-20,128.4
1968-04-29,5.4,80591.0,2.4,499.0,,1.18,27,101.0,-19,128.0
1968-04-30,5.4,80236.0,3.7,449.0,,1.51,20,136.0,-11,132.8
1968-05-01,5.7,58022.0,3.4,467.0,,1.45,23,178.0,-11,144.8
1968-05-02,7.8,148361.0,4.5,529.0,,2.42,27,204.0,-15,148.2
1968-05-03,5.7,192497.0,3.6,597.0,,2.57,23,202.0,-6,156.3
1968-05-04,3.8,73129.0,2.6,492.0,,1.29,13,195.0,-5,154.5
1968-05-05,4.5,78056.0,3.3,377.0,,0.93,10,180.0,-2,156.0
1968-05-06,4.3,50470.0,10.4,355.0,,2.57,7,201.0,12,148.5
1968-05-07,,170569.0,18.2,486.0,,7.97,47,191.0,-39,145.4
1968-05-08,,138454.0,2.7,508.0,,1.41,17,181.0,-29,141.6
1968-05-09,,,,,,,33,173.0,-36,139.8
1968-05-10,14.0,,,363.0,,,23,166.0,-12,139.7
1968-05-11,10.5,,,622.0,,,33,150.0,-3,133.5
1968-05-12,6.0,,,617.0,,,37,116.0,-16,127.3
1968-05-13,5.8,,,627.0,,,30,129.0,-7,128.3
1968-05-14,4.4,,,579.0,,,27,113.0,-4,138.2
1968-05-15,6.1,96928.0,4.5,525.0,,2.42,20,135.0,-6,141.8
1968-05-16,6.7,74115.0,3.9,481.0,,1.81,23,146.0,-18,150.7
1968-05-17,6.6,75237.0,5.3,441.0,,2.11,27,161.0,-12,166.5
1968-05-18,5.8,141066.0,5.0,526.0,,2.8,30,193.0,-12,178.4
1968-05-19,7.3,84347.0,4.7,454.0,,1.91,23,195.0,-11,185.3
1968-05-20,7.2,83344.0,4.1,488.0,,1.98,33,198.0,-23,193.6
